Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuitTraining,Edge Chromium 126,,,24-07-2024 19:07:50,24-07-2024 19:09:03,"1m - 13,906s",PASSED
,,,,,,,
Test Cases/TC YT/TC-001,Edge Chromium 126,First Test Case,,24-07-2024 19:07:50,24-07-2024 19:08:54,"1m - 3,886s",PASSED
"openBrowser("""")",Edge Chromium 126,,,24-07-2024 19:07:50,24-07-2024 19:07:55,"4,280s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 126,,,24-07-2024 19:07:55,24-07-2024 19:08:44,"49,408s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 126,,,24-07-2024 19:08:44,24-07-2024 19:08:45,"0,924s",PASSED
"doubleClick(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Edge Chromium 126,,,24-07-2024 19:08:45,24-07-2024 19:08:45,"0,512s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Edge Chromium 126,,,24-07-2024 19:08:45,24-07-2024 19:08:46,"0,333s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Edge Chromium 126,,,24-07-2024 19:08:46,24-07-2024 19:08:47,"0,717s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 126,,,24-07-2024 19:08:47,24-07-2024 19:08:47,"0,467s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""), 0)",Edge Chromium 126,,,24-07-2024 19:08:47,24-07-2024 19:08:47,"0,307s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Edge Chromium 126,,,24-07-2024 19:08:47,24-07-2024 19:08:48,"0,904s",PASSED
