Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-001,Chrome 127.0.0.0,,,30-07-2024 11:47:00,30-07-2024 11:48:02,"1m - 1,659s",PASSED
,,,,,,,
Test Cases/TC UDEMY/TC - 003 Record Mode,Chrome 127.0.0.0,,,30-07-2024 11:47:00,30-07-2024 11:47:27,"26,116s",PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,30-07-2024 11:47:01,30-07-2024 11:47:04,"3,218s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 127.0.0.0,,,30-07-2024 11:47:04,30-07-2024 11:47:07,"2,791s",PASSED
"click(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 127.0.0.0,,,30-07-2024 11:47:07,30-07-2024 11:47:08,"0,791s",PASSED
"setText(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 127.0.0.0,,,30-07-2024 11:47:08,30-07-2024 11:47:08,"0,731s",PASSED
"click(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/input_Username_username""))",Chrome 127.0.0.0,,,30-07-2024 11:47:08,30-07-2024 11:47:09,"0,308s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 127.0.0.0,,,30-07-2024 11:47:09,30-07-2024 11:47:09,"0,389s",PASSED
"click(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/button_Login""))",Chrome 127.0.0.0,,,30-07-2024 11:47:09,30-07-2024 11:47:10,"0,834s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 127.0.0.0,,,30-07-2024 11:47:10,30-07-2024 11:47:11,"0,900s",PASSED
"click(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 127.0.0.0,,,30-07-2024 11:47:11,30-07-2024 11:47:11,"0,293s",PASSED
"click(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 127.0.0.0,,,30-07-2024 11:47:11,30-07-2024 11:47:11,"0,297s",PASSED
"click(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 127.0.0.0,,,30-07-2024 11:47:11,30-07-2024 11:47:12,"0,327s",PASSED
"click(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/td_31""))",Chrome 127.0.0.0,,,30-07-2024 11:47:12,30-07-2024 11:47:12,"0,535s",PASSED
"setText(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/textarea_Comment_comment""), ""This is a sample comment."")",Chrome 127.0.0.0,,,30-07-2024 11:47:12,30-07-2024 11:47:13,"0,837s",PASSED
"click(findTestObject(""Object Repository/Udemy Healthcare Site/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 127.0.0.0,,,30-07-2024 11:47:13,30-07-2024 11:47:14,"0,571s",PASSED
