Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GITUSER1,Chrome 127.0.0.0,,,31-07-2024 13:10:44,31-07-2024 13:15:16,"4m - 31,943s",FAILED
,,,,,,,
Test Cases/GITHUB USER RESEARCH/USER1,Chrome 127.0.0.0,,,31-07-2024 13:10:44,31-07-2024 13:11:24,"39,583s",PASSED
Start listener action : beforeTest,Chrome 127.0.0.0,,,31-07-2024 13:10:44,31-07-2024 13:10:44,"0,007s",PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,31-07-2024 13:10:45,31-07-2024 13:10:47,"2,393s",PASSED
"navigateToUrl(""https://simonsmith.github.io/github-user-search/#/search"")",Chrome 127.0.0.0,,,31-07-2024 13:10:47,31-07-2024 13:10:47,"0,395s",PASSED
"setText(findTestObject(""Object Repository/GITUSER1/Page_Github user search/input_Search for a user_searchInput""), ""SimonSmith"")",Chrome 127.0.0.0,,,31-07-2024 13:10:47,31-07-2024 13:10:48,"0,992s",PASSED
"sendKeys(findTestObject(""Object Repository/GITUSER1/Page_Github user search/input_Search for a user_searchInput""), Keys.chord(ENTER))",Chrome 127.0.0.0,,,31-07-2024 13:10:48,31-07-2024 13:10:49,"0,363s",PASSED
"click(findTestObject(""Object Repository/GITUSER1/Page_SimonSmith - Page 1 - Github user search/p_simonsmith""))",Chrome 127.0.0.0,,,31-07-2024 13:10:49,31-07-2024 13:10:50,"0,947s",PASSED
"click(findTestObject(""Object Repository/GITUSER1/Page_simonsmiths profile - Github user search/a_cypress-image-snapshot""))",Chrome 127.0.0.0,,,31-07-2024 13:10:50,31-07-2024 13:11:24,"33,868s",PASSED
closeBrowser(),Chrome 127.0.0.0,,,31-07-2024 13:11:24,31-07-2024 13:11:24,"0,303s",PASSED
Start listener action : afterTest,Chrome 127.0.0.0,,,31-07-2024 13:11:24,31-07-2024 13:11:24,"0,004s",PASSED
,,,,,,,
