Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tss,Chrome 127.0.0.0,,,05-08-2024 10:51:37,05-08-2024 10:52:04,"26,863s",PASSED
,,,,,,,
Test Cases/Forms/KW10,Chrome 127.0.0.0,,,05-08-2024 10:51:38,05-08-2024 10:51:38,"0,295s",PASSED
Start listener action : beforeTest,Chrome 127.0.0.0,,,05-08-2024 10:51:38,05-08-2024 10:51:38,"0,007s",PASSED
"KW10.containsSubstring("""", """")",Chrome 127.0.0.0,,,05-08-2024 10:51:38,05-08-2024 10:51:38,"0,036s",PASSED
Start listener action : afterTest,Chrome 127.0.0.0,,,05-08-2024 10:51:38,05-08-2024 10:51:38,"0,021s",PASSED
,,,,,,,
Test Cases/Forms/google,Chrome 127.0.0.0,,,05-08-2024 10:51:38,05-08-2024 10:51:45,"7,068s",PASSED
Start listener action : beforeTest,Chrome 127.0.0.0,,,05-08-2024 10:51:38,05-08-2024 10:51:38,"0,007s",PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,05-08-2024 10:51:38,05-08-2024 10:51:41,"2,720s",PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 127.0.0.0,,,05-08-2024 10:51:41,05-08-2024 10:51:42,"1,341s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Google/input_Report inappropriate predictions_btnK""), 0)",Chrome 127.0.0.0,,,05-08-2024 10:51:42,05-08-2024 10:51:44,"1,452s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Google/textarea_Sign in_q""), 0)",Chrome 127.0.0.0,,,05-08-2024 10:51:44,05-08-2024 10:51:44,"0,294s",PASSED
"setText(findTestObject(""Object Repository/Page_Google/textarea_Sign in_q""), ""Katalon Studio Tutorials"")",Chrome 127.0.0.0,,,05-08-2024 10:51:44,05-08-2024 10:51:45,"0,762s",PASSED
closeBrowser(),Chrome 127.0.0.0,,,05-08-2024 10:51:45,05-08-2024 10:51:45,"0,308s",PASSED
Start listener action : afterTest,Chrome 127.0.0.0,,,05-08-2024 10:51:45,05-08-2024 10:51:45,"0,002s",PASSED
,,,,,,,
Test Cases/Forms/p2t,Chrome 127.0.0.0,,,05-08-2024 10:51:45,05-08-2024 10:51:55,"9,917s",PASSED
Start listener action : beforeTest,Chrome 127.0.0.0,,,05-08-2024 10:51:45,05-08-2024 10:51:45,"0,002s",PASSED
